id_user,locality,speciality
43394,Madrid,"Mediación y Arbitraje"
43394,Madrid,Procesal
43394,Madrid,"Herencias y Testamentos"
43392,"Castellón de la Plana","Seguridad Social"
43392,Madrid,"Seguridad Social"
43392,Valencia,"Seguridad Social"
43392,Madrid,"Seguridad Social"
43392,"Castellón de la Plana","Herencias y Testamentos"
43392,Madrid,"Herencias y Testamentos"
43392,Valencia,"Herencias y Testamentos"
43392,Madrid,"Herencias y Testamentos"
43392,"Castellón de la Plana",Laboral
43392,Madrid,Laboral
43392,Valencia,Laboral
43392,Madrid,Laboral
43392,"Castellón de la Plana",Penal
43392,Madrid,Penal
43392,Valencia,Penal
43392,Madrid,Penal
43389,Madrid,Familia
43389,Madrid,Civil
43384,Madrid,Administrativo
43384,Madrid,Civil
43384,Madrid,"Reclamaciones de cantidad"
43384,Madrid,"Derecho bancario"
43384,Madrid,Mercantil
43384,Madrid,Procesal
43371,"Las Palmas de Gran Canaria",Laboral
43371,"Las Palmas de Gran Canaria","Seguridad Social"
43370,Tarragona,Familia
43370,Tarragona,"Accidentes de tráfico"
43364,Sevilla,Familia
43364,Sevilla,Penal
43364,Sevilla,"Reclamaciones de cantidad"
43364,Sevilla,Divorcios
43364,Sevilla,"Derecho bancario"
43358,"Vilanova i la Geltrú",Divorcios
43358,Barcelona,Divorcios
43358,"Vilanova i la Geltrú",Familia
43358,Barcelona,Familia
43358,"Vilanova i la Geltrú",Civil
43358,Barcelona,Civil
43358,"Vilanova i la Geltrú","Herencias y Testamentos"
43358,Barcelona,"Herencias y Testamentos"
43356,Torrevieja,Tributario-Fiscal
43356,Torrevieja,"Recurso de multas"
43356,Torrevieja,Inmobiliario
43356,Torrevieja,"Accidentes de tráfico"
43356,Torrevieja,Administrativo
43356,Torrevieja,"Extranjería y Nacionalidad"
43354,Zaragoza,Civil
43354,Zaragoza,"Recurso de multas"
43354,Zaragoza,"Derecho bancario"
43354,Zaragoza,Inmobiliario
43352,Torredelcampo,Familia
43352,Torredelcampo,"Mediación y Arbitraje"
43352,Torredelcampo,"Herencias y Testamentos"
43352,Torredelcampo,Divorcios
43348,"La Línea de la Concepción",Penal
43348,"La Línea de la Concepción","Accidentes de tráfico"
43348,"La Línea de la Concepción",Civil
43347,Bilbao,Administrativo
43347,Bilbao,Civil
43347,Bilbao,Familia
43347,Bilbao,Penal
43347,Bilbao,"Reclamaciones de cantidad"
43347,Bilbao,"Herencias y Testamentos"
43344,Barcelona,Familia
43341,Huelva,Inmobiliario
43341,Huelva,Laboral
43341,Huelva,Desahucios
43341,Huelva,Divorcios
43341,Huelva,"Reclamaciones de cantidad"
43341,Huelva,"Consumidores y Usuarios"
43338,Madrid,Familia
43338,Madrid,Laboral
43320,Telde,Inmobiliario
43320,Telde,"Herencias y Testamentos"
43320,Telde,Alquileres
43320,Telde,Civil
43320,Telde,Desahucios
43320,Telde,"Derecho bancario"
43318,Málaga,"Reclamaciones de cantidad"
43318,Málaga,Urbanismo
43318,Málaga,"Hipotecario y Notarial"
43318,Málaga,"Accidentes de tráfico"
43317,Zaragoza,Civil
43317,Zaragoza,Desahucios
43317,Zaragoza,Divorcios
43317,Zaragoza,"Derecho bancario"
43313,Martorell,"Extranjería y Nacionalidad"
43313,Martorell,"Herencias y Testamentos"
43313,Martorell,Familia
43313,Martorell,"Mediación y Arbitraje"
43312,Deba,Familia
43312,Deba,Laboral
43312,Deba,Médico-Sanitario
43312,Deba,Administrativo
43312,Deba,"Seguridad Social"
43309,Vélez-Málaga,"Reclamaciones de cantidad"
43309,Vélez-Málaga,Alquileres
43309,Vélez-Málaga,Familia
43309,Vélez-Málaga,Inmobiliario
43309,Vélez-Málaga,"Accidentes de tráfico"
43309,Vélez-Málaga,Civil
43308,Antequera,"Accidentes de tráfico"
43308,Antequera,Agrario
43308,Antequera,Civil
43308,Antequera,General
43308,Antequera,"Mediación y Arbitraje"
43308,Antequera,Penal
43301,Huelva,Laboral
43301,Huelva,"Herencias y Testamentos"
43301,Huelva,Divorcios
43300,Málaga,Divorcios
43300,Málaga,Penal
43300,Málaga,"Extranjería y Nacionalidad"
43297,Mataró,"Accidentes de tráfico"
43297,Mataró,"Seguridad Social"
43297,Mataró,Familia
43297,Mataró,Médico-Sanitario
43297,Mataró,Penal
43291,Madrid,"Extranjería y Nacionalidad"
43290,Madrid,Familia
43290,Madrid,Divorcios
43290,Madrid,"Herencias y Testamentos"
43288,Majadahonda,Laboral
43288,Majadahonda,Penal
43288,Majadahonda,Civil
43287,Leganés,"Extranjería y Nacionalidad"
43287,Leganés,Familia
43287,Leganés,Penal
43287,Leganés,Desahucios
43287,Leganés,Divorcios
43286,Vitoria-Gasteiz,"Extranjería y Nacionalidad"
43285,"Las Palmas de Gran Canaria","Herencias y Testamentos"
43284,Almería,"Reclamaciones de cantidad"
43284,Almería,"Consumidores y Usuarios"
43284,Almería,Seguros
43284,Almería,"Comunidad de propietarios"
43284,Almería,"Accidentes de tráfico"
43281,Málaga,"Accidentes de tráfico"
43281,Málaga,"Extranjería y Nacionalidad"
43281,Málaga,"Reclamaciones de cantidad"
43281,Málaga,Urbanismo
43281,Málaga,Divorcios
43276,Madrid,Divorcios
43276,Madrid,"Reclamaciones de cantidad"
43276,Madrid,"Seguridad Social"
43276,Madrid,Familia
43276,Madrid,Laboral
43273,Barcelona,"Hipotecario y Notarial"
43273,Barcelona,"Seguridad Social"
43273,Barcelona,"Consumidores y Usuarios"
43269,Valladolid,Laboral
43263,"Tres Cantos",Laboral
43263,"Tres Cantos",Divorcios
43263,"Tres Cantos",Civil
43263,"Tres Cantos","Comunidad de propietarios"
43262,Alboraya,Divorcios
43262,Alboraya,"Derecho bancario"
43255,"A Coruña",Desahucios
43255,"A Coruña",Divorcios
